PLAYER,TYPE,PRICE PAID,Team
Jacques Kallis,All-Rounder,"5,50,00,000",3
Robin Uthappa,Batsman,"5,00,00,000",3
Piyush Chawla,Bowler,"4,25,00,000",3
Yusuf Pathan,All-Rounder,"3,25,00,000",3
Shakib Al Hasan,All-Rounder,"2,80,00,000",3
Morne Morkel,Bowler,"2,80,00,000",3
Ranganath Vinay Kumar,Bowler,"2,80,00,000",3
Umesh Yadav,Bowler,"2,60,00,000",3
Manish Pandey,Batsman,"1,70,00,000",3
Chris Lynn,Batsman,"1,30,00,000",3
Patrick Cummins,Bowler,"1,00,00,000",3
Ryan Ten Doeschate,All-Rounder,"1,00,00,000",3
Suryakumar Yadav,Batsman,"70,00,000",3
Andre Russell,All-Rounder,"60,00,000",3
Manvinder Bisla,Wicket Keeper,"60,00,000",3
Veer Pratap Singh,Bowler,"40,00,000",3
Kuldeep Singh Yadav,Bowler,"40,00,000",3
Debabrata Das,Wicket Keeper,"20,00,000",3
Sayan Sekhar Mandal,All-Rounder,"10,00,000",3
