PLAYER,TYPE,PRICE PAID,Team
Mitchell Marsh,All-Rounder,"4,80,00,000",5
M. Ashwin,Bowler,"4,50,00,000",5
Ishant Sharma,Bowler,"3,80,00,000",5
Kevin Pietersen,Batsman,"3,50,00,000",5
Irfan Pathan,All-Rounder,"1,00,00,000",5
Thisara Perera,All-Rounder,"1,00,00,000",5
Rajat Bhatia,All-Rounder,"60,00,000",5
Ashok Dinda,Bowler,"50,00,000",5
Scott Boland,Bowler,"50,00,000",5
Peter Handscomb,Wicket Keeper,"30,00,000",5
Rudra Pratap Singh,Bowler,"30,00,000",5
Adam Zampa,Bowler,"30,00,000",5
Ishwar Chandra Pandey,Bowler,"20,00,000",5
Deepak Chahar,All-Rounder,"10,00,000",5
Jaskaran Singh,Bowler,"10,00,000",5
Baba Aparajith,All-Rounder,"10,00,000",5
Ankush Bains,Wicket Keeper,"10,00,000",5
Ankit Sharma,All-Rounder,"10,00,000",5
