PLAYER,TYPE,PRICE PAID,Team,Year
Avanish Rao Aravelly,Wicket-Keeper,"20,00,000",Chennai Super Kings,2024
Mustafizur Rahman,Bowler,"2,00,00,000",Chennai Super Kings,2024
Daryl Mitchell,All-Rounder,"14,00,00,000",Chennai Super Kings,2024
Sameer Rizvi,Batter,"8,40,00,000",Chennai Super Kings,2024
Rachin Ravindra,All-Rounder,"1,80,00,000",Chennai Super Kings,2024
Shardul Thakur,All-Rounder,"4,00,00,000",Chennai Super Kings,2024
Jhathavedh Subramanyan,Bowler,"20,00,000",Sunrisers Hyderabad,2024
Akash Singh,Bowler,"20,00,000",Sunrisers Hyderabad,2024
Jaydev Unadkat,Bowler,"1,60,00,000",Sunrisers Hyderabad,2024
Wanindu Hasaranga,All-Rounder,"1,50,00,000",Sunrisers Hyderabad,2024
Pat Cummins,All-Rounder,"20,50,00,000",Sunrisers Hyderabad,2024
Travis Head,Batter,"6,80,00,000",Sunrisers Hyderabad,2024
Ricky Bhui,Wicket-Keeper,"20,00,000",Delhi Daredevils,2024
Sumit Kumar,All-Rounder,"1,00,00,000",Delhi Daredevils,2024
Swastik Chhikara,Batter,"20,00,000",Delhi Daredevils,2024
Jhye Richardson,Bowler,"5,00,00,000",Delhi Daredevils,2024
Shai Hope,Wicket-Keeper,"75,00,000",Delhi Daredevils,2024
Rasikh Dar,Bowler,"20,00,000",Delhi Daredevils,2024
Kumar Kushagra,Wicket-Keeper,"7,20,00,000",Delhi Daredevils,2024
Tristan Stubbs,Wicket-Keeper,"50,00,000",Delhi Daredevils,2024
Harry Brook,Batter,"4,00,00,000",Delhi Daredevils,2024
Kartik Tyagi,Bowler,"60,00,000",Gujarat Titans,2024
Spencer Johnson,Bowler,"10,00,00,000",Gujarat Titans,2024
Manav Suthar,Bowler,"20,00,000",Gujarat Titans,2024
Robin Minz,Wicket-Keeper,"3,60,00,000",Gujarat Titans,2024
Sushant Mishra,Bowler,"2,20,00,000",Gujarat Titans,2024
Azmatullah Omarzai,All-Rounder,"50,00,000",Gujarat Titans,2024
Shahrukh Khan,All-Rounder,"7,40,00,000",Gujarat Titans,2024
Umesh Yadav,Bowler,"5,80,00,000",Gujarat Titans,2024
Mujeeb Rahman,Bowler,"2,00,00,000",Kolkata Knight Riders,2024
Manish Pandey,Batter,"50,00,000",Kolkata Knight Riders,2024
Gus Atkinson,Bowler,"1,00,00,000",Kolkata Knight Riders,2024
Angkrish Raghuvanshi,Batter,"20,00,000",Kolkata Knight Riders,2024
Mitchell  Starc,Bowler,"24,75,00,000",Kolkata Knight Riders,2024
Sherfane Rutherford,Batter,"1,50,00,000",Kolkata Knight Riders,2024
Ramandeep  Singh,All-Rounder,"20,00,000",Kolkata Knight Riders,2024
K.S. Bharat,Wicket-Keeper,"50,00,000",Kolkata Knight Riders,2024
Chetan Sakariya,Bowler,"50,00,000",Kolkata Knight Riders,2024
Sakib Hussain,Bowler,"20,00,000",Kolkata Knight Riders,2024
Ashton Turner,Batter,"1,00,00,000",Lucknow Super Giants,2024
David Willey,All-Rounder,"2,00,00,000",Lucknow Super Giants,2024
M. Siddharth,Bowler,"2,40,00,000",Lucknow Super Giants,2024
Shivam  Mavi,Bowler,"6,40,00,000",Lucknow Super Giants,2024
Arshin Kulkarni,All-Rounder,"20,00,000",Lucknow Super Giants,2024
Mohd. Arshad Khan,All-Rounder,"20,00,000",Lucknow Super Giants,2024
Dilshan Madushanka,Bowler,"4,60,00,000",Mumbai Indians,2024
Shreyas Gopal,Bowler,"20,00,000",Mumbai Indians,2024
Shivalik Sharma,All-Rounder,"20,00,000",Mumbai Indians,2024
Anshul Kamboj,All-Rounder,"20,00,000",Mumbai Indians,2024
Mohammad Nabi,All-Rounder,"1,50,00,000",Mumbai Indians,2024
Naman Dhir,All-Rounder,"20,00,000",Mumbai Indians,2024
Nuwan Thushara,Bowler,"4,80,00,000",Mumbai Indians,2024
Gerald Coetzee,All-Rounder,"5,00,00,000",Mumbai Indians,2024
Chris Woakes,All-Rounder,"4,20,00,000",Punjab Kings,2024
Tanay Thyagarajann,All-Rounder,"20,00,000",Punjab Kings,2024
Vishwanath Pratap Singh,All-Rounder,"20,00,000",Punjab Kings,2024
Ashutosh Sharma,All-Rounder,"20,00,000",Punjab Kings,2024
Shashank  Singh,Batter,"20,00,000",Punjab Kings,2024
Rilee Rossouw,Batter,"8,00,00,000",Punjab Kings,2024
Prince Choudhary,Bowler,"20,00,000",Punjab Kings,2024
Harshal Patel,All-Rounder,"11,75,00,000",Punjab Kings,2024
Shubham Dubey,Batter,"5,80,00,000",Rajasthan Royals,2024
Rovman Powell,Batter,"7,40,00,000",Rajasthan Royals,2024
Abid Mushtaq,All-Rounder,"20,00,000",Rajasthan Royals,2024
Nandre Burger,Bowler,"50,00,000",Rajasthan Royals,2024
Tom Kohler-Cadmore,Wicket-Keeper,"40,00,000",Rajasthan Royals,2024
Lockie Ferguson,Bowler,"2,00,00,000",Royal Challengers Bangalore,2024
Tom Curran,All-Rounder,"1,50,00,000",Royal Challengers Bangalore,2024
Saurav Chuahan,Batter,"20,00,000",Royal Challengers Bangalore,2024
Alzarri Joseph,Bowler,"11,50,00,000",Royal Challengers Bangalore,2024
Swapnil Singh,All-Rounder,"20,00,000",Royal Challengers Bangalore,2024
Yash  Dayal,Bowler,"5,00,00,000",Royal Challengers Bangalore,2024
